hpol,vpol
246.29936897194037,255.4128798270558
246.32157218398154,251.71128841358222
246.6195512963118,250.77165992608502
245.25517703226413,251.14719663100655
245.62545710069253,252.60122156976595
245.92405548213884,254.44293858213226
247.8123586981393,253.78753031999423
250.1841533500967,252.2837043058509
254.64452474782456,256.36943793703847
253.99131818852567,257.0614493056386
255.1218951354672,260.76458800946966
254.25890956780273,261.32795041965926
253.97476655153633,261.6365340885167
252.65435676428797,260.4310210863741
255.83698990505752,259.96885372875545
254.44845586281647,256.82710957569003
254.76141944830175,257.62555852393666
252.96561353500604,261.85477553358487
254.4774936357941,258.6655223390903
252.7699407529715,258.95177444898746
254.23442920582627,260.8844591514729
253.40768875018023,259.5485818238649
254.2664666606173,260.3097759927733
253.84674874091945,258.77451613720837
252.37783103162297,257.3169931512721
252.31062213927498,258.8423599015357
248.4945070438419,255.1885200409432
252.19083148015912,254.99002220357366
251.5729788706753,256.6902842082129
249.72471758380814,256.9635111281045
248.61033321948938,254.8480055533737
251.9221157739885,258.4686859470112
249.47768151834956,255.8866546724121
251.6923499500569,258.50959112908544
252.60244267452902,258.5319486868029
251.51809308744967,256.5494625354269
251.0810338267618,258.05878999023105
250.8846030472743,257.55120040900533
250.38024933673483,254.88581122063403
250.53464747077197,256.5571297986706
249.027012523283,255.32481334670325
247.2713856472996,255.11844834808952
246.82494572224203,255.42701747198174
249.3177678420916,252.3528434781225
247.62159227249404,251.07269767350778
245.69776544483744,251.77353668687843
245.52139092759788,252.8715172993528
243.37725972155184,251.23631052172024
247.70480137004034,251.61270219704818
244.63407320127612,249.4335381606409
244.2759539539716,249.4003039912612
244.39906078254842,246.96680922882598
243.33229547979735,250.9225277163871
247.16954341150358,252.27536146264453
246.86575959355508,252.72584302046084
247.73238032135723,254.7319332620418
250.9828717170899,256.6297145097151
253.06975076757143,257.4510136163224
256.11493405417485,261.6335404343458
255.14342814879558,258.0950629637524
255.07531131801971,261.7806271851892
254.23575789724487,259.30900036771317
254.2331835351531,261.0016304476719
256.0778414522079,261.84404290281776
253.21567100245971,261.28527451921934
253.57344993437653,259.8877542905722
253.39346913084873,258.2315075322555
252.1354150571079,258.1164494331611
252.93319277376645,260.2338764391601
251.5832053240168,256.4738296731969
252.02965046048,259.0117808665143
252.92277830370372,258.2922612777691
252.0206019024048,257.71746617281576
252.19766425570037,260.6087656468019
252.8782859247887,259.5843356448152
252.20836420640882,259.1213888389221
252.79115868854183,258.5443948946074
254.19496701249315,260.12314455286855
254.05819131561373,261.2658199704006
254.89870026760974,259.6993854540384
256.9461498104182,262.6298588480638
257.23054066436555,262.0810904087777
254.34853526899897,262.8815720316355
257.2411826595946,263.73208992614013
257.52747030222906,262.5523818958854
258.72171992545776,261.2042421460294
258.85851927874086,260.72548841219435
255.9229167530321,262.4421271518047
257.40946407948576,266.3426438072375
258.0244822891904,263.0688005667672
255.85350253666866,264.00200632950606
260.612196407251,264.9730066445001
257.64174259164287,263.92561925147834
256.4595276631941,266.47917733592374
