system:index,Fpar,FparExtra_QC,FparLai_QC,FparStdDev,Lai,LaiStdDev,.geo
2018_12_11_0,37.0,0.0,2.0,8.0,6.0,2.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_12_15_0,40.0,0.0,0.0,8.0,6.0,2.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_12_19_0,34.0,0.0,0.0,7.0,5.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_12_23_0,36.0,0.0,2.0,6.0,5.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_12_27_0,41.0,72.0,16.0,10.0,6.0,2.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_12_31_0,26.0,0.0,2.0,0.0,3.0,0.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_01_01_0,35.0,0.0,2.0,7.0,5.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_01_05_0,35.0,0.0,2.0,7.0,5.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_01_09_0,34.0,0.0,0.0,7.0,5.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_01_13_0,0.0,32.0,105.0,,0.0,,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_01_17_0,0.0,32.0,105.0,,0.0,,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_01_21_0,9.0,32.0,10.0,0.0,1.0,0.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_01_25_0,39.0,8.0,16.0,10.0,6.0,2.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_01_29_0,41.0,72.0,0.0,10.0,6.0,2.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_02_02_0,15.0,8.0,107.0,,3.0,,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
