system:index,FAPAR,LAI,QA,.geo
20020409_0,428.9872823,1010.61931,77.11061271,"{""type"":""Polygon"",""coordinates"":[[[-92.5,38.5],[-92.0,38.5],[-92.0,39.0],[-92.5,39.0],[-92.5,38.5]]]}"
20020410_0,431.0407125,1024.622977,77.11061271,"{""type"":""Polygon"",""coordinates"":[[[-92.5,38.5],[-92.0,38.5],[-92.0,39.0],[-92.5,39.0],[-92.5,38.5]]]}"
20020411_0,528.0607972,1300.222923,268.1640565,"{""type"":""Polygon"",""coordinates"":[[[-92.5,38.5],[-92.0,38.5],[-92.0,39.0],[-92.5,39.0],[-92.5,38.5]]]}"
20020414_0,574.0789905,1600.869407,247.3733906,"{""type"":""Polygon"",""coordinates"":[[[-92.5,38.5],[-92.0,38.5],[-92.0,39.0],[-92.5,39.0],[-92.5,38.5]]]}"
20020415_0,501.8688872,1386.119341,105.6917316,"{""type"":""Polygon"",""coordinates"":[[[-92.5,38.5],[-92.0,38.5],[-92.0,39.0],[-92.5,39.0],[-92.5,38.5]]]}"
20020417_0,481.8804962,1243.513999,94.87311412,"{""type"":""Polygon"",""coordinates"":[[[-92.5,38.5],[-92.0,38.5],[-92.0,39.0],[-92.5,39.0],[-92.5,38.5]]]}"
20020422_0,564.578073,1725.977652,119.7347581,"{""type"":""Polygon"",""coordinates"":[[[-92.5,38.5],[-92.0,38.5],[-92.0,39.0],[-92.5,39.0],[-92.5,38.5]]]}"
20020423_0,585.1480444,1929.787029,83.46522998,"{""type"":""Polygon"",""coordinates"":[[[-92.5,38.5],[-92.0,38.5],[-92.0,39.0],[-92.5,39.0],[-92.5,38.5]]]}"
20020425_0,609.8664458,2116.923262,108.7006721,"{""type"":""Polygon"",""coordinates"":[[[-92.5,38.5],[-92.0,38.5],[-92.0,39.0],[-92.5,39.0],[-92.5,38.5]]]}"
20020428_0,578.8015831,1976.782969,166.2782798,"{""type"":""Polygon"",""coordinates"":[[[-92.5,38.5],[-92.0,38.5],[-92.0,39.0],[-92.5,39.0],[-92.5,38.5]]]}"
20020429_0,605.4003274,2136.56946,80.87977295,"{""type"":""Polygon"",""coordinates"":[[[-92.5,38.5],[-92.0,38.5],[-92.0,39.0],[-92.5,39.0],[-92.5,38.5]]]}"
20020430_0,550.8386806,1676.362137,227.5499042,"{""type"":""Polygon"",""coordinates"":[[[-92.5,38.5],[-92.0,38.5],[-92.0,39.0],[-92.5,39.0],[-92.5,38.5]]]}"
20020502_0,514.0065279,1401.773112,266.2637181,"{""type"":""Polygon"",""coordinates"":[[[-92.5,38.5],[-92.0,38.5],[-92.0,39.0],[-92.5,39.0],[-92.5,38.5]]]}"
20020503_0,609.2647635,2468.068893,239.6017312,"{""type"":""Polygon"",""coordinates"":[[[-92.5,38.5],[-92.0,38.5],[-92.0,39.0],[-92.5,39.0],[-92.5,38.5]]]}"
20020504_0,631.4425029,2482.554104,138.3515826,"{""type"":""Polygon"",""coordinates"":[[[-92.5,38.5],[-92.0,38.5],[-92.0,39.0],[-92.5,39.0],[-92.5,38.5]]]}"
20020505_0,608.5981313,2307.383013,92.47870113,"{""type"":""Polygon"",""coordinates"":[[[-92.5,38.5],[-92.0,38.5],[-92.0,39.0],[-92.5,39.0],[-92.5,38.5]]]}"
20020509_0,673.728348,2953.215408,102.0141892,"{""type"":""Polygon"",""coordinates"":[[[-92.5,38.5],[-92.0,38.5],[-92.0,39.0],[-92.5,39.0],[-92.5,38.5]]]}"
20020510_0,633.2017173,2507.991297,218.18796,"{""type"":""Polygon"",""coordinates"":[[[-92.5,38.5],[-92.0,38.5],[-92.0,39.0],[-92.5,39.0],[-92.5,38.5]]]}"
20020513_0,628.1808464,2755.886605,249.1010598,"{""type"":""Polygon"",""coordinates"":[[[-92.5,38.5],[-92.0,38.5],[-92.0,39.0],[-92.5,39.0],[-92.5,38.5]]]}"
20020514_0,644.8537499,2856.844914,82.18799771,"{""type"":""Polygon"",""coordinates"":[[[-92.5,38.5],[-92.0,38.5],[-92.0,39.0],[-92.5,39.0],[-92.5,38.5]]]}"
20020515_0,566.6783203,2195.811224,206.2912218,"{""type"":""Polygon"",""coordinates"":[[[-92.5,38.5],[-92.0,38.5],[-92.0,39.0],[-92.5,39.0],[-92.5,38.5]]]}"
20020518_0,614,2389,266.3026862,"{""type"":""Polygon"",""coordinates"":[[[-92.5,38.5],[-92.0,38.5],[-92.0,39.0],[-92.5,39.0],[-92.5,38.5]]]}"
20020519_0,656.1545692,2852.726376,180.7402444,"{""type"":""Polygon"",""coordinates"":[[[-92.5,38.5],[-92.0,38.5],[-92.0,39.0],[-92.5,39.0],[-92.5,38.5]]]}"
20020520_0,645,2602.5,266.3026862,"{""type"":""Polygon"",""coordinates"":[[[-92.5,38.5],[-92.0,38.5],[-92.0,39.0],[-92.5,39.0],[-92.5,38.5]]]}"
20020521_0,663.8698981,3125.577146,140.6161327,"{""type"":""Polygon"",""coordinates"":[[[-92.5,38.5],[-92.0,38.5],[-92.0,39.0],[-92.5,39.0],[-92.5,38.5]]]}"
20020522_0,617.8400455,2653.511461,175.0413651,"{""type"":""Polygon"",""coordinates"":[[[-92.5,38.5],[-92.0,38.5],[-92.0,39.0],[-92.5,39.0],[-92.5,38.5]]]}"
20020526_0,613.2241665,2619.903756,96.84905706,"{""type"":""Polygon"",""coordinates"":[[[-92.5,38.5],[-92.0,38.5],[-92.0,39.0],[-92.5,39.0],[-92.5,38.5]]]}"
20020530_0,609,2399,268.1872663,"{""type"":""Polygon"",""coordinates"":[[[-92.5,38.5],[-92.0,38.5],[-92.0,39.0],[-92.5,39.0],[-92.5,38.5]]]}"
